kod_stacji,nazwa_stacji,lon,lat,temperatura_gruntu,temperatura_gruntu_data,wiatr_kierunek,wiatr_kierunek_data,wiatr_srednia_predkosc,wiatr_srednia_predkosc_data,wiatr_predkosc_maksymalna,wiatr_predkosc_maksymalna_data,wilgotnosc_wzgledna,wilgotnosc_wzgledna_data,wiatr_poryw_10min,wiatr_poryw_10min_data,opad_10min,opad_10min_data
249210190,WISŁOCZEK,21.865556,49.500833,,,,,,,,,,,,,0,2025-01-24 07:50:00
249220110,NOWOTANIEC,22.025278,49.507778,,,,,,,,,,,,,0,2025-01-28 17:50:00
253190370,BĄGART,19.384444,53.991667,,,,,,,,,,,,,0,2025-01-28 17:50:00
253180160,RADZYŃ-FIJEWO,18.946944,53.382778,,,,,,,,,,,,,0.1,2025-01-28 17:50:00
253150330,SŁONOWICE,15.718056,53.716944,,,,,,,,,,,,,0.2,2025-01-28 17:50:00
254170070,BUKOWINA,17.843333,54.422222,6.2,2025-01-28 17:50:00,133,2025-01-28 17:50:00,1.8,2025-01-28 17:50:00,2.8,2025-01-28 17:50:00,92.8,2025-01-28 17:50:00,,,0.1,2025-01-28 17:50:00
252160350,KOPASZEWO,16.818333,52.003333,5.9,2025-01-28 17:50:00,251.3,2025-01-28 17:50:00,1.8,2025-01-28 17:50:00,2.3,2025-01-28 17:50:00,97.7,2025-01-22 10:50:00,,,0,2025-01-28 17:50:00
253210380,TUROWO,21.901667,53.528611,5.2,2025-01-28 17:50:00,100,2025-01-28 17:50:00,2.9,2025-01-28 17:50:00,4.3,2025-01-28 17:50:00,88.6,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
254170020,SMOŁDZINO,17.201667,54.667222,,,,,,,,,,,,,0.3,2025-01-28 17:50:00
250170840,MESZNO,17.141389,50.4325,10.4,2025-01-28 17:50:00,233.8,2025-01-28 17:50:00,5.2,2025-01-28 17:50:00,7.7,2025-01-28 17:50:00,71.3,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
253230230,ZARZECZANY,23.684444,53.101667,,,,,,,,,,,,,0,2025-01-28 17:50:00
249210370,ROPICA GÓRNA,21.231389,49.596111,,,,,,,,,,,,,0,2025-01-28 17:50:00
250180750,WĄSICE,18.029722,50.985,,,,,,,,,,,,,0,2025-01-28 17:50:00
250170850,KUJAWY,17.803889,50.436944,,,,,,,,,,,,,0,2025-01-28 17:50:00
250160970,ŚNIEŻNIK,16.8325,50.208333,0,2025-01-28 17:50:00,214,2025-01-28 17:50:00,6.1,2025-01-28 17:50:00,11,2025-01-28 17:50:00,99.1,2025-01-28 17:50:00,,,0.1,2025-01-28 17:50:00
250160980,WOLIBÓRZ,16.578056,50.590556,,,,,,,,,,,,,0,2025-01-28 17:50:00
249190970,SIDZINA,19.726944,49.619444,,,,,,,,,,,,,0,2025-01-28 17:50:00
253220370,SAWINO,22.864722,53.168889,,,,,,,,,,,,,0,2025-01-28 17:50:00
249201060,TYLMANOWA,20.3875,49.518056,,,,,,,,,,,,,0,2025-01-28 17:50:00
250180760,STRZELCE OPOLSKIE,18.311111,50.517778,,,,,,,,,,,,,0,2025-01-28 17:50:00
249190990,JORDANÓW,19.841667,49.643056,,,,,,,,,,,,,0,2025-01-28 17:50:00
250160060,SOBÓTKA,16.759444,50.902222,,,,,,,,,,,,,0,2025-01-28 17:50:00
251150450,PIEŃSK,15.040278,51.26,,,,,,,,,,,,,0,2025-01-28 17:50:00
254170280,STRUSZEWO,17.357222,54.178889,6.2,2025-01-28 17:50:00,144,2025-01-28 17:50:00,1,2025-01-28 17:50:00,2,2025-01-28 17:50:00,96.6,2025-01-28 17:50:00,,,0.2,2025-01-28 17:50:00
251190240,WIERZBOWA,19.079444,51.986667,,,,,,,,,,,,,0,2025-01-28 17:50:00
250161070,JODŁÓW,16.771111,50.172778,,,,,,,,,,,,,0.1,2025-01-28 17:50:00
250160940,NOWA WIEŚ,16.745,50.197778,,,,,,,,,,,,,0.2,2025-01-28 17:50:00
250160960,STARY GIERAŁTÓW,16.9175,50.31,,,,,,,,,,,,,0.1,2025-01-28 17:50:00
249190480,LALIKI,19.016111,49.544722,9.1,2025-01-28 17:50:00,209,2025-01-28 17:50:00,3.7,2025-01-28 17:50:00,8.3,2025-01-28 17:50:00,67.61,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249190520,OBIDOWA,19.968611,49.544167,7.1,2025-01-28 17:50:00,146,2025-01-28 17:50:00,4.4,2025-01-28 17:50:00,6.2,2025-01-28 17:50:00,73,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249190620,BAŃSKA WYŻNA,19.973333,49.384167,,,,,,,,,,,,,0,2025-01-28 17:50:00
249200180,LIMANOWA,20.418333,49.693611,9.5,2025-01-28 17:50:00,182,2025-01-28 17:50:00,6.6,2025-01-28 17:50:00,10.4,2025-01-28 17:50:00,67,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249200210,PÓŁRZECZKI,20.215,49.6525,,,,,,,,,,,,,0,2025-01-28 17:50:00
350190566,KRAKÓW-BALICE,19.795,50.077778,,,199,2025-01-28 17:50:00,1.2,2025-01-28 17:50:00,3.4,2025-01-28 17:50:00,72,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
349190625,ZAKOPANE,19.960278,49.293889,9.1,2025-01-28 17:50:00,190,2025-01-28 17:50:00,6.6,2025-01-28 17:50:00,13.5,2025-01-28 17:50:00,64.6,2025-01-28 17:50:00,,,0,2024-12-19 11:50:00
250190470,KRAKÓW-WOLA JUSTOWSKA,19.890278,50.063889,4.7,2025-01-28 17:50:00,100,2025-01-28 17:50:00,0.5,2025-01-28 17:50:00,1.4,2025-01-28 17:50:00,80.4,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249180180,USTROŃ-RÓWNICA-WIEŚ,18.8525,49.719722,,,,,,,,,,,,,0,2025-01-28 17:50:00
249190320,LUBOŃ WIELKI,19.992222,49.653333,0.04,2025-01-28 17:50:00,127,2025-01-28 17:50:00,0,2025-01-28 17:50:00,0,2025-01-28 17:50:00,79.85,2025-01-28 17:50:00,,,0,2024-11-23 10:20:00
249200020,ŁAZY,20.495278,49.965278,10.13,2025-01-28 17:50:00,132,2025-01-28 17:50:00,4.4,2025-01-28 17:50:00,7,2025-01-28 17:50:00,63.17,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
249210120,NOWY ŻMIGRÓD,21.533333,49.611667,,,,,,,,,,,,,0,2025-01-28 17:50:00
349200660,NOWY SĄCZ,20.688611,49.627222,10.2,2025-01-28 17:50:00,54,2025-01-28 17:50:00,1,2025-01-28 17:50:00,3,2025-01-28 17:50:00,63,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
350190560,KATOWICE-MUCHOWIEC,19.032778,50.240556,6.3,2025-01-28 17:50:00,101,2025-01-28 17:50:00,1.4,2025-01-28 17:50:00,3,2025-01-28 17:50:00,69,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
350200570,KIELCE-SUKÓW,20.692222,50.810556,7.3,2025-01-28 17:50:00,147,2025-01-28 17:50:00,4.2,2025-01-28 17:50:00,6.8,2025-01-28 17:50:00,76,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
